NAME;Type;RA;DEC;RA (deg);DEC (deg);l (deg);b (deg)
J1836-2354A;BW;18h36m25.4452;-23d54m52.390;279.10602;-23.91455;9.88597;-7.5611
J1908+2105;RB;19h09m32;21d02m56;287.24;21.08;53.7214;5.639
J1910-5320;RB;19h10m47.7;-53d20m19;287.70;-53.34;343.6624;-24.2432
J1911+0102A;BW;19h11m11.02;1d02m10.9;287.795916;1.03636;36.1111;-03.91773
J1928+1245;BW;19h28m45.38247;12d45m53.3907;292.18909;12.764830;48.5338;-02.29038
J1946-5403;BW;19h46m33.6274;-54d02m36.3948;296.64;-54.06;343.9054;-29.5763
J1953+1846A;BW;19h53m46.44;18d47m04.7;298.44350;18.784638;56.7505;-4.56148
J1957+2516;RB;19h57m34.61567;25d16m02.24698;299.39423;25.26729;62.76895;-1.97262
J1959+2048;BW;19h59m36.748;20d48m14.599;299.90;20.80;59.1968;-4.6975
J2017-1614;BW;20h17m45.12;-16d18m21.1;304.44;-16.24;27.2422;-26.2427
J2039-5617;RB;20h39m34.9681;-56d17m09.268;309.90;-56.29;341.265;-37.145
J2047+1053;BW;20h47m00;10d53m00;311.79;10.89;57.0193;-19.643
J2051-0827;BW;20h51m07.5198;-08d27m37.7491;312.78;-8.46;39.192;-30.411
J2052+1219;BW;20h52m47.778;12d19m59.022;313.20;12.33;59.145;-19.986
J2055+3829;BW;20h55m10.3065;38d29m30.9057;313.79294;38.491918;80.61519;-4.25931
J2115+5448;BW;21h15m11.7678;54d48m45.154;318.80;54.81;95.043;4.1087
J2129-0429;RB;21h29m45.039;-04d29m05.59;322.44;-4.48;48.912;-36.939
J2140-2310A;RB;21h40m22.4061;-23d10m48.7938;325.093358;-23.18022;27.17907;-46.83666
J2214+3000;BW;22h14m38.8480;30d00m38.209;333.66;30.01;86.8553;-21.6651
J2215+5135;RB;22h15m32.6884;51d35m36.340;333.89;51.59;99.868;-4.159
J2234+0944;BW;22h34m45.7;09d43m55;338.70;9.74;76.2674;-40.4427
J2241-5236;BW;22h41m42.0316;-52d36m36.2492;340.43;-52.61;337.4574;-54.9267
J2256-1024;BW;22h56m56.39;-10d24m.34.37;344.23;-10.41;59.2306;-58.2926
J2339-0533;RB;23h39m38.74;-05d33m05.32;354.91;-5.55;81.349;-62.476
